epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8991,2.8007,3.50301,3.01766,0.00054,0.16166,0.003,0.00105,2.65335,4.58562,2.6891,0.0706522,0.00326087,0.00326087
2,64.7571,1.74293,1.90454,2.05925,0.00096,0.1216,0.0006,0.00022,2.92835,1598.09,4.95322,0.0405869,0.00652892,0.00652892
3,101.164,1.41572,1.59827,1.73794,0.12152,0.10667,0.04875,0.01562,3.72098,4.56508,5.59953,0.0104556,0.00973097,0.00973097
4,134.391,1.30991,1.34862,1.61719,0.67424,0.04292,0.004,0.00104,2.40307,33.4207,5.80539,0.009703,0.009703,0.009703
5,169.699,1.22115,1.22064,1.53401,0.53317,0.09682,0.10188,0.05701,3.35104,4.11193,5.33656,0.009604,0.009604,0.009604
6,202.167,1.07997,1.03818,1.39677,0.69404,0.86571,0.85915,0.68439,0.87086,2.67905,1.27435,0.009505,0.009505,0.009505
7,234.69,1.04494,1.01361,1.36726,0.8696,0.47538,0.60886,0.39593,1.58167,3.93514,2.36322,0.009406,0.009406,0.009406
8,266.99,0.9677,0.92016,1.31335,0.98885,0.98603,0.9943,0.85057,0.62582,0.59294,1.08874,0.009307,0.009307,0.009307
9,299.504,0.90915,0.81463,1.25794,0.92667,0.92707,0.97562,0.79012,0.71615,0.81258,1.15465,0.009208,0.009208,0.009208
10,334.046,0.86078,0.77674,1.22123,0.94342,0.6911,0.83546,0.66268,0.91394,1.06058,1.31899,0.009109,0.009109,0.009109
11,375.152,0.92782,0.81735,1.25679,0.97919,0.97729,0.99283,0.80898,0.75325,0.56477,1.18006,0.00901,0.00901,0.00901
12,407.467,0.85723,0.72623,1.20702,0.77766,0.38162,0.44703,0.30529,1.74222,3.02161,2.47514,0.008911,0.008911,0.008911
13,439.84,0.87325,0.79682,1.23045,0.98902,0.97978,0.99439,0.8082,0.73368,0.52576,1.13028,0.008812,0.008812,0.008812
14,472.371,0.82264,0.71749,1.18475,0.97016,0.60904,0.67541,0.55644,1.04585,1.61171,1.50596,0.008713,0.008713,0.008713
15,506.529,0.82903,0.76176,1.19651,0.94484,0.62393,0.7637,0.54228,1.31703,1.40515,1.76097,0.008614,0.008614,0.008614
16,539.138,0.7905,0.68854,1.17507,0.97876,0.84767,0.91822,0.61985,1.26987,0.90303,1.66686,0.008515,0.008515,0.008515
17,578.307,0.78353,0.69075,1.17113,0.01157,0.15165,0.01642,0.00765,3.26054,7.3824,4.58289,0.008416,0.008416,0.008416
18,610.671,0.77804,0.66546,1.15087,0.97974,0.99534,0.99433,0.89167,0.51871,0.4103,0.99533,0.008317,0.008317,0.008317
19,643.112,0.79623,0.67194,1.16747,0.95388,0.91765,0.96302,0.8176,0.64316,0.89415,1.10229,0.008218,0.008218,0.008218
20,677.067,0.77192,0.66326,1.15818,0.96074,0.94336,0.98651,0.79132,0.79796,0.5858,1.22167,0.008119,0.008119,0.008119
21,707.474,0.75416,0.63629,1.13859,0.99509,0.99841,0.99484,0.8654,0.5562,0.40915,1.01308,0.00802,0.00802,0.00802
