epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7418,0.92713,2.033,1.01012,1,0.22622,0.85666,0.71237,0.67564,2.61198,0.85047,0.000465508,0.000465508,0.000465508
2,22.2565,0.67381,0.93145,0.91212,0.99834,0.92798,0.99142,0.84126,0.59719,1.43918,0.87899,0.000932517,0.000932517,0.000932517
3,30.1382,0.65271,0.81484,0.91231,0.99552,0.99596,0.99482,0.89076,0.48936,0.606,0.84681,0.00139009,0.00139009,0.00139009
4,38.0991,0.64473,0.76258,0.90242,0.99263,0.99899,0.99498,0.87238,0.50539,0.50482,0.85495,0.00138656,0.00138656,0.00138656
5,45.9567,0.63472,0.73465,0.91455,0.98746,0.99694,0.99498,0.88473,0.51631,0.44495,0.85262,0.00137241,0.00137241,0.00137241
6,53.6974,0.59337,0.65224,0.89848,0.99377,0.99764,0.995,0.86677,0.54366,0.39963,0.86263,0.00135826,0.00135826,0.00135826
7,61.6063,0.56416,0.60503,0.88941,0.99517,0.99557,0.995,0.92182,0.39848,0.3747,0.83039,0.00134412,0.00134412,0.00134412
8,69.3751,0.55494,0.57911,0.89203,0.99642,0.99191,0.99495,0.86423,0.53072,0.36226,0.8576,0.00132997,0.00132997,0.00132997
9,76.9952,0.58483,0.5856,0.89562,0.99612,0.9969,0.9947,0.90234,0.46152,0.34996,0.8397,0.00131582,0.00131582,0.00131582
10,84.6372,0.56163,0.53529,0.8799,0.98707,0.98996,0.99444,0.8965,0.45491,0.36258,0.84724,0.00130168,0.00130168,0.00130168
11,92.273,0.55459,0.53262,0.88199,0.99367,0.99777,0.99495,0.92811,0.38498,0.31302,0.82672,0.00128753,0.00128753,0.00128753
12,99.9941,0.54573,0.51735,0.87766,0.999,0.99663,0.995,0.89795,0.47566,0.33916,0.84657,0.00127338,0.00127338,0.00127338
13,107.77,0.5412,0.49632,0.88296,0.99898,0.99812,0.995,0.92799,0.37083,0.29448,0.82383,0.00125923,0.00125923,0.00125923
14,115.507,0.52456,0.4778,0.8773,0.99893,0.99667,0.995,0.93392,0.37619,0.29717,0.82671,0.00124509,0.00124509,0.00124509
15,123.288,0.52924,0.48661,0.88568,0.9981,0.99824,0.99498,0.91272,0.44788,0.30266,0.84433,0.00123094,0.00123094,0.00123094
16,131.017,0.51713,0.47057,0.88183,0.99779,0.99204,0.99498,0.93812,0.34902,0.27448,0.8248,0.00121679,0.00121679,0.00121679
17,138.674,0.52566,0.47945,0.88382,0.99806,0.9981,0.995,0.91553,0.42892,0.28806,0.83642,0.00120265,0.00120265,0.00120265
18,146.373,0.50057,0.44158,0.86722,0.9986,0.99754,0.995,0.95207,0.33405,0.26395,0.82067,0.0011885,0.0011885,0.0011885
19,154.094,0.49785,0.44122,0.86428,0.98568,0.98793,0.99474,0.89439,0.49613,0.32447,0.86024,0.00117435,0.00117435,0.00117435
20,161.78,0.4947,0.4298,0.87078,0.99433,0.99807,0.99497,0.94083,0.36069,0.26404,0.82455,0.00116021,0.00116021,0.00116021
21,169.316,0.49321,0.43902,0.87691,0.99868,0.99769,0.995,0.94555,0.3258,0.24969,0.81619,0.00114606,0.00114606,0.00114606
22,176.984,0.49,0.43637,0.86801,0.99415,0.99716,0.99497,0.90465,0.46854,0.28955,0.85786,0.00113191,0.00113191,0.00113191
23,184.58,0.50283,0.44187,0.87869,0.99814,0.99621,0.995,0.93555,0.33815,0.25938,0.81944,0.00111776,0.00111776,0.00111776
24,192.16,0.50109,0.43502,0.8716,0.99666,0.99845,0.995,0.9178,0.41647,0.2769,0.83523,0.00110362,0.00110362,0.00110362
25,199.819,0.50262,0.43451,0.87693,0.99921,0.99827,0.995,0.93928,0.36028,0.24708,0.82524,0.00108947,0.00108947,0.00108947
26,207.492,0.48853,0.42646,0.87017,0.99395,0.99825,0.99497,0.96371,0.28382,0.23424,0.81195,0.00107532,0.00107532,0.00107532
27,215.075,0.48386,0.41199,0.86973,0.99778,0.99822,0.995,0.94133,0.33726,0.24408,0.82552,0.00106118,0.00106118,0.00106118
28,222.737,0.47655,0.41161,0.87288,0.99919,0.99687,0.995,0.9397,0.3578,0.25229,0.82388,0.00104703,0.00104703,0.00104703
29,230.36,0.47804,0.41032,0.87098,0.99946,0.99684,0.995,0.94929,0.33835,0.25036,0.8183,0.00103288,0.00103288,0.00103288
30,238.09,0.4734,0.40038,0.86587,0.99837,0.99518,0.99498,0.95551,0.34029,0.24625,0.8179,0.00101873,0.00101873,0.00101873
31,245.755,0.49129,0.43121,0.87745,0.9987,0.99804,0.995,0.96239,0.28628,0.22471,0.81153,0.00100459,0.00100459,0.00100459
32,253.444,0.45976,0.38327,0.85868,0.99736,0.99833,0.995,0.91992,0.41901,0.25609,0.84045,0.00099044,0.00099044,0.00099044
33,261.202,0.47329,0.41018,0.87631,0.99706,0.99749,0.99498,0.93788,0.37805,0.24428,0.82657,0.000976293,0.000976293,0.000976293
34,268.929,0.49265,0.42667,0.8798,0.99389,0.99919,0.995,0.95805,0.32847,0.23044,0.8176,0.000962146,0.000962146,0.000962146
35,276.706,0.44717,0.37104,0.85946,0.99674,0.99841,0.995,0.96126,0.29714,0.22965,0.81413,0.000947999,0.000947999,0.000947999
36,284.37,0.44277,0.37036,0.85445,0.99822,0.99779,0.995,0.97447,0.27132,0.22247,0.81103,0.000933851,0.000933851,0.000933851
37,292.121,0.45155,0.37534,0.86003,0.99893,0.99963,0.995,0.95638,0.314,0.22804,0.81843,0.000919704,0.000919704,0.000919704
38,299.982,0.46076,0.40619,0.86402,0.99894,0.99833,0.995,0.94658,0.34456,0.23307,0.81872,0.000905557,0.000905557,0.000905557
39,308.066,0.45861,0.38669,0.8611,0.99473,0.99698,0.99497,0.93253,0.37246,0.23153,0.82247,0.00089141,0.00089141,0.00089141
40,316.108,0.46375,0.39495,0.87075,0.99749,0.99876,0.99498,0.94214,0.36596,0.24249,0.8299,0.000877263,0.000877263,0.000877263
41,324.029,0.45268,0.39268,0.86562,0.99895,0.99928,0.995,0.97475,0.26932,0.20668,0.80923,0.000863116,0.000863116,0.000863116
42,331.975,0.44073,0.37568,0.86081,0.99649,0.9997,0.995,0.95298,0.33345,0.22384,0.81537,0.000848969,0.000848969,0.000848969
43,339.958,0.43484,0.36808,0.85336,0.99904,0.99899,0.995,0.96219,0.31205,0.22465,0.81361,0.000834822,0.000834822,0.000834822
44,347.929,0.4489,0.38786,0.86052,0.99825,0.99932,0.995,0.96606,0.28033,0.21171,0.81208,0.000820675,0.000820675,0.000820675
45,355.835,0.43768,0.37412,0.85912,0.99704,0.9982,0.99498,0.96194,0.29958,0.22521,0.81597,0.000806528,0.000806528,0.000806528
46,363.847,0.42536,0.35952,0.84728,0.99734,0.99878,0.995,0.9678,0.28407,0.21043,0.80682,0.00079238,0.00079238,0.00079238
47,371.756,0.42583,0.3581,0.85469,0.99842,0.99833,0.995,0.96104,0.31327,0.2221,0.81611,0.000778233,0.000778233,0.000778233
48,379.604,0.42208,0.35731,0.8532,0.9989,0.99961,0.995,0.93931,0.35613,0.22298,0.82529,0.000764086,0.000764086,0.000764086
49,387.397,0.44087,0.36905,0.85934,0.99922,0.99912,0.995,0.95704,0.29125,0.21337,0.81331,0.000749939,0.000749939,0.000749939
50,395.24,0.42913,0.35307,0.85607,0.99758,0.99859,0.995,0.9644,0.30932,0.21071,0.82015,0.000735792,0.000735792,0.000735792
51,403.094,0.44982,0.3806,0.86756,0.99652,0.99833,0.99498,0.92765,0.40815,0.23554,0.83331,0.000721645,0.000721645,0.000721645
52,410.775,0.43774,0.36038,0.85565,0.99895,0.99984,0.995,0.96009,0.31313,0.21397,0.81283,0.000707498,0.000707498,0.000707498
53,418.52,0.42181,0.35694,0.8505,0.99886,0.99973,0.995,0.97039,0.26771,0.20651,0.80739,0.000693351,0.000693351,0.000693351
54,426.372,0.4329,0.37103,0.85566,0.99876,0.99775,0.995,0.97538,0.27641,0.21241,0.81031,0.000679204,0.000679204,0.000679204
55,434.124,0.42285,0.35557,0.84985,0.99748,0.99787,0.995,0.97154,0.24455,0.20446,0.80484,0.000665057,0.000665057,0.000665057
56,442.009,0.4344,0.37946,0.86489,0.99904,0.99775,0.995,0.95771,0.33182,0.20585,0.81816,0.000650909,0.000650909,0.000650909
57,449.768,0.4378,0.37171,0.86174,0.99884,0.9984,0.995,0.91854,0.44253,0.24431,0.83938,0.000636762,0.000636762,0.000636762
58,457.588,0.44401,0.38437,0.86096,0.99861,0.99994,0.995,0.9528,0.31761,0.21235,0.81542,0.000622615,0.000622615,0.000622615
59,465.378,0.43324,0.36056,0.86415,0.9981,0.9975,0.995,0.9516,0.33605,0.21569,0.81649,0.000608468,0.000608468,0.000608468
60,473.277,0.42002,0.34591,0.85418,0.9986,0.99706,0.995,0.96468,0.28956,0.20101,0.81629,0.000594321,0.000594321,0.000594321
61,481.334,0.43128,0.36437,0.85967,0.99655,0.99754,0.995,0.96191,0.29545,0.2038,0.81352,0.000580174,0.000580174,0.000580174
62,489.366,0.4123,0.33883,0.85198,0.9984,0.99883,0.995,0.9587,0.30597,0.19752,0.81094,0.000566027,0.000566027,0.000566027
63,497.271,0.41486,0.34541,0.85132,0.99863,0.99985,0.995,0.95368,0.32143,0.20383,0.81808,0.00055188,0.00055188,0.00055188
64,505.347,0.43228,0.37508,0.86467,0.99919,0.99961,0.995,0.96425,0.28367,0.19076,0.8098,0.000537733,0.000537733,0.000537733
65,513.318,0.41267,0.3556,0.85375,0.99848,0.99833,0.995,0.96833,0.27037,0.19672,0.80928,0.000523586,0.000523586,0.000523586
66,521.258,0.41507,0.35062,0.85517,0.99931,0.99974,0.995,0.95385,0.32149,0.20298,0.81577,0.000509438,0.000509438,0.000509438
67,529.2,0.40175,0.34446,0.85205,0.99683,0.99885,0.995,0.97707,0.24419,0.1865,0.80526,0.000495291,0.000495291,0.000495291
68,537.043,0.39724,0.33853,0.85025,0.99656,1,0.995,0.97709,0.25827,0.18344,0.80727,0.000481144,0.000481144,0.000481144
69,544.903,0.41202,0.35365,0.85436,0.99802,0.99833,0.995,0.95,0.33242,0.20377,0.82257,0.000466997,0.000466997,0.000466997
70,552.591,0.39105,0.32139,0.84495,0.99879,0.9995,0.995,0.95508,0.31129,0.19476,0.81988,0.00045285,0.00045285,0.00045285
71,560.315,0.40556,0.3526,0.85825,0.99861,1,0.995,0.9572,0.28238,0.19432,0.81139,0.000438703,0.000438703,0.000438703
72,568.129,0.39873,0.34625,0.85285,0.99881,0.99976,0.995,0.9757,0.25309,0.18714,0.80577,0.000424556,0.000424556,0.000424556
73,575.904,0.40601,0.35738,0.86038,0.99715,0.99978,0.995,0.96088,0.28998,0.19072,0.81186,0.000410409,0.000410409,0.000410409
74,583.608,0.38898,0.33761,0.847,0.99838,1,0.995,0.98261,0.21039,0.17715,0.7996,0.000396262,0.000396262,0.000396262
75,591.395,0.39319,0.33031,0.84946,0.99874,1,0.995,0.94817,0.3401,0.19472,0.8254,0.000382115,0.000382115,0.000382115
76,599.169,0.39496,0.3383,0.85353,0.99733,1,0.99498,0.97378,0.28246,0.19129,0.81072,0.000367967,0.000367967,0.000367967
77,606.936,0.38512,0.33028,0.85221,0.99727,0.99929,0.995,0.96387,0.27017,0.18468,0.81137,0.00035382,0.00035382,0.00035382
78,614.652,0.38719,0.32952,0.84442,0.99771,0.9999,0.995,0.97194,0.26531,0.1848,0.80808,0.000339673,0.000339673,0.000339673
79,622.384,0.38703,0.32916,0.84562,0.99693,0.99983,0.995,0.947,0.33374,0.19608,0.82418,0.000325526,0.000325526,0.000325526
80,630.174,0.38571,0.32211,0.85041,0.99663,1,0.995,0.95444,0.30485,0.18279,0.81591,0.000311379,0.000311379,0.000311379
81,637.803,0.3791,0.32264,0.84749,0.99874,0.99965,0.995,0.95797,0.31617,0.18869,0.81573,0.000297232,0.000297232,0.000297232
82,645.525,0.39458,0.33033,0.84916,0.99881,1,0.995,0.96297,0.27652,0.18001,0.8111,0.000283085,0.000283085,0.000283085
83,653.19,0.37829,0.32018,0.84925,0.9986,1,0.995,0.97116,0.25893,0.18008,0.80937,0.000268938,0.000268938,0.000268938
84,661.03,0.38411,0.32902,0.85142,0.99835,1,0.995,0.986,0.20633,0.16613,0.79951,0.000254791,0.000254791,0.000254791
85,668.897,0.39247,0.33993,0.85294,0.99884,1,0.995,0.98183,0.2311,0.16846,0.8059,0.000240644,0.000240644,0.000240644
86,676.711,0.36895,0.31499,0.8408,0.99883,1,0.995,0.95655,0.30059,0.18105,0.81622,0.000226497,0.000226497,0.000226497
87,684.659,0.36039,0.3028,0.8383,0.99853,1,0.995,0.98196,0.21317,0.16586,0.8017,0.000212349,0.000212349,0.000212349
88,692.556,0.37023,0.32555,0.84685,0.99895,1,0.995,0.98224,0.22087,0.16459,0.80246,0.000198202,0.000198202,0.000198202
89,700.495,0.37523,0.33134,0.84367,0.99884,1,0.995,0.97444,0.23366,0.16663,0.80518,0.000184055,0.000184055,0.000184055
90,708.463,0.36662,0.31789,0.84761,0.99869,1,0.995,0.97309,0.25068,0.17244,0.808,0.000169908,0.000169908,0.000169908
91,753.62,0.32675,0.27025,0.82035,0.99849,1,0.995,0.98142,0.2333,0.16669,0.80334,0.000155761,0.000155761,0.000155761
92,761.408,0.33835,0.27906,0.82515,0.99807,1,0.995,0.96759,0.28203,0.17781,0.81285,0.000141614,0.000141614,0.000141614
93,769.166,0.35079,0.30346,0.8287,0.99704,0.99975,0.995,0.97569,0.25196,0.16944,0.80877,0.000127467,0.000127467,0.000127467
94,776.859,0.32287,0.26839,0.81696,0.99718,0.9998,0.995,0.97223,0.26169,0.17276,0.81123,0.00011332,0.00011332,0.00011332
95,784.514,0.33966,0.28036,0.82578,0.99722,0.9999,0.995,0.97502,0.25856,0.17013,0.81044,9.91726e-05,9.91726e-05,9.91726e-05
96,791.995,0.32963,0.28093,0.82533,0.99727,0.99989,0.995,0.97745,0.25087,0.16635,0.81005,8.50255e-05,8.50255e-05,8.50255e-05
97,799.555,0.33425,0.28772,0.82767,0.99736,1,0.995,0.9795,0.23324,0.16462,0.80617,7.08784e-05,7.08784e-05,7.08784e-05
98,807.224,0.33654,0.29519,0.82839,0.99779,1,0.995,0.98313,0.21719,0.16005,0.80388,5.67313e-05,5.67313e-05,5.67313e-05
99,814.889,0.31631,0.26741,0.82096,0.99785,1,0.995,0.98652,0.21319,0.15866,0.80268,4.25842e-05,4.25842e-05,4.25842e-05
100,822.467,0.326,0.27637,0.82201,0.99793,1,0.995,0.98373,0.22166,0.15843,0.80479,2.84371e-05,2.84371e-05,2.84371e-05
